,location,tweetcreatedts,clean_tweet,vader_score,vader_sentiment_label,sentiment
0,"Detroit, MI",29/5/2020 2:27,"America going flames @POTUS? Oh wait, know... #coronavirus #TrumpMeltdown #TrumpOwnsThisCrisis #GeorgeFloyd #minneapolisriots #depression #JusticeForGeorgeFloyd https://t.co/z522UmDEqK",-0.5719,1,negative
1,"Queensland, Australia.",29/5/2020 2:24,"The biggest difference #financial #recession financial #depression&gt;&gt; recession hurts others, depression impacts you! So #COVID19 depression, please tread carefully.",-0.9275,1,negative
2,Cambridgeshire,29/5/2020 2:17,"I’ve made video part series created @CPFT_NHS @IaptPws @PboroMHExemplar support people #worry, #anxiety #depression, especially #covid19. It concludes #relationships episode focuses #endingrelationships https://t.co/wndrWYahWY",-0.5574,1,negative
3,"Cambridge, MA",29/5/2020 2:10,"POC “are likely white adults report significant stressors life result coronavirus pandemic, namely getting coronavirus (71% vs. 59%...), basic needs (61% vs. 47%), access health care services (59% vs. 46%).” #stress https://t.co/hoFr6YhvvB",-0.2263,1,negative
4,,29/5/2020 2:09,@itsJeffTiedrich I guess 'American Carnage' spoke ... He must proud THIS first thing life #OrangeJulius successfully delivered. #COVID19 #depression 2.0 ... #TiredFromWinning,0.3818,3,positive
5,"Rochester, NY",29/5/2020 2:07,Coping Through Quarantine - 2 Things To Help You De-Stress Stay Calm You're Cooped Up https://t.co/1ZKpDe8Get #COVID19 #Coronavirus #Isolation #Stress,-0.128,1,negative
6,"Calgary, AB",29/5/2020 2:02,How people responding #stress #ibd #COVID-19 #IBD webinar 🍎 https://t.co/YThYJLwDS7,-0.4215,1,negative
7,,29/5/2020 1:58,"""Millions people around world coping #jobloss caused #COVID19 pandemic. Whether it’s temporary permanent, unemployment lead stress, #anxiety, #depression #mentalhealth challenges."" Via @seattletimes https://t.co/SvH611PJty",-0.8689,1,negative
8,Maine,29/5/2020 1:56,I’ve never imagined headlines UN planet’s mental health - times a’changin. #mentalhealth #globalmentalhealth #Grief #Fear #depression #griefandloss #panic #uncertainty #healing #loveoneanother https://t.co/dr6Hj5IiaC,-0.9413,1,negative
9,"Massachusetts, USA",29/5/2020 1:47,"Didn’t sleep. Felt wicked darkness. This morning, news dear friend committed suicide. A public servant lived serve oppressed. For some, price paid extended shelter-at-home fatal. Depression hurts. #coronavirus #depression @realDonaldTrump",-0.9643,1,negative
10,"Long Beach, NY",29/5/2020 1:37,No One Is Actually Learning Because We Are All Grieving https://t.co/iyL80u7SGo #schoolrubric #coronavirus #covid-19 #distancelearning #grief #stress #trauma #wellness via @atheadavis @schoolrubric https://t.co/BhZGjlXXg2,-0.886,1,negative
11,,29/5/2020 1:23,"Our brains built complex thinking, planning &amp; remembering times massive upheaval. Under #stress, less able call previously learned knowledge &amp; memories. So feeling impaired #COVID19 “a natural biological response” https://t.co/7rpYg0JgFy https://t.co/1pwhUanDK2",0.1757,3,positive
12,"St Joseph, MI",29/5/2020 1:11,"#COVID19 + #socialdistancing necessary many #patients (although states relaxed #SIP order) + #migraine cured + #isolation = increased #pain, #anxiety, #depression &amp; #suicidal thoughts. Please join #supportgroup, #phoneafriend, use #telemedicine. https://t.co/iEs5nvkfqZ",-0.7964,1,negative
13,"Long Beach, CA aka LBC",29/5/2020 0:59,"#Breaking: 2.1 #Million More Americans File #Jobless Claims Bringing The #CoronaVirus Crisis Total To 40 Million #Jobless ""So-Far"" &amp; Counting As Our Country Moves Closer Towards #Depression Era Conditions https://t.co/73PxiauTRE via @ABC",-0.8316,1,negative
14,,29/5/2020 0:58,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
15,Sri Lanka & Roaming,29/5/2020 0:51,"Our brains built complex thinking, planning &amp; remembering times massive upheaval. Under #stress, less able call previously learned knowledge &amp; memories. So feeling impaired #COVID19 “a natural biological response” https://t.co/7rpYg0JgFy https://t.co/1pwhUanDK2",0.1757,3,positive
16,Harlem to Hollywood,29/5/2020 0:49,"Finding brought tears.. it’s do.. ⁣❤️ ⁣ I come family severe #Depression #MentalIllness.. ALL things happening world, #Covid19, #Quarantine,… https://t.co/cbu0qt2ngx",-0.802,1,negative
17,"Richmond, VA - USA",29/5/2020 0:42,"Day 575 - Memories A #swim outside full sun warmth reminds #Childhood #summer. It great opportunity again, significantly decreases #stress #covid times. I hope everyone… https://t.co/OiZCV4kh7z",0.875,3,positive
18,"Perth, Western Australia",29/5/2020 0:22,No storm last forever..... #mentalhealth #mentalhealthawareness #anxiety #selfcare #depression #selflove #love #health #wellness #mentalhealthmatters #motivation #therapy #mindfulness #healing #covid #psychology #ptsd #life #loveyourself Credits: https://t.co/sozQebCcPj https://t.co/wpv6eakGo7,0.6597,3,positive
